idpk,CIK,year,assets,CurrentAssets,NoncurrentAssets,liabilities,CurrentLiabilities,NoncurrentLiabilities,LiabilitiesAndStockholdersEquity,equity,CommonStockValue,RetainedEarningsAccumulatedDeficit,AccumulatedOtherComprehensiveIncomeLoss,MinorityInterest,revenues,SalesRevenueNet,CostOfGoodsSold,GrossProfit,OperatingExpenses,SellingGeneralAndAdministrativeExpense,ResearchAndDevelopmentExpense,OperatingIncomeLoss,InterestExpense,IncomeBeforeIncomeTaxes,IncomeTaxExpenseBenefit,NetIncomeLoss,PreferredStockDividendsAndOtherAdjustments,NetIncomeLossAvailableToCommonStockholdersBasic,EarningsPerShareBasic,EarningsPerShareDiluted,WeightedAverageNumberOfSharesOutstandingBasic,WeightedAverageNumberOfDilutedSharesOutstanding,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInFinancingActivities,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndCashEquivalentsAtCarryingValue,PaymentsToAcquirePropertyPlantAndEquipment,ProceedsFromIssuanceOfCommonStock,PaymentsOfDividends,RepaymentsOfDebt,ProceedsFromIssuanceOfDebt,DepreciationAndAmortization,InventoryNet,AccountsReceivableNetCurrent,AccountsPayableCurrent,Goodwill,IntangibleAssetsNetExcludingGoodwill,PropertyPlantAndEquipmentNet,LongTermDebtNoncurrent,ShortTermBorrowings,IncomeTaxesPayableCurrent,EntityRegistrantName,EntityCentralIndexKey,TradingSymbol,EntityIncorporationStateCountryCode,EntityFilerCategory,DocumentPeriodEndDate,DocumentFiscalPeriodFocus,DocumentFiscalYearFocus,DocumentType,AmendmentFlag,CurrentFiscalYearEndDate
2045,1881741,2023,106076198,134534,,4614090,991590,,106076198,-2864080,49,-4479864,,,,,,,,,,-122521,,,165799,-184444,,,-0.07,-0.07,2705131,2705131,-319921,97500,9,,52989,,,,,,,,,,,,,,,,,,,,,,,,,,
2046,1881741,2024,19558645,371470,,7659962,4037462,,19588645,-4479556,,-7288800,,,,,,,,,,-253083,,,42640,763803,,,,,,,-284832,287818,140012,,79026,,,,,,,,,,,,,,,,,,,,,,,,,,
2052,1792044,2019,0,0,,0,0,,0,0,1,0,,,,,,,0,,,,,,0,0,,,0,,100,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2053,1792044,2020,0,0,,0,0,,0,0,1,0,,,11433900000,,,4001600000,3096000000,2441000000,704500000,905600000,542300000,,-54100000,0,,,0.69,0.68,514500000,516500000,2341700000,-1210400000,-1090900000,,388100000,252100000,,,,,,2670900000,3058800000,,9747800000,11649900000,2149600000,0,0,,,,,,,,,,,,
2054,1792044,2021,61553000000,12867500000,,38598900000,10562900000,,61553000000,,12100000,5361200000,,,11500500000,,,3897600000,3182100000,2563600000,639900000,715500000,517300000,,137600000,,,20800000,0.03,0.03,515700000,516500000,1803700000,-525400000,-1169000000,,475600000,213200000,,0,,,,5471900000,4843800000,,9590600000,29683200000,3459900000,22429200000,1100900000,,,,,,,,,,,,
2055,1792044,2022,54842800000,10902900000,,34350100000,9884400000,,54842800000,,12100000,3688800000,,,11946000000,,,3796700000,4007500000,3344600000,184100000,-210800000,497800000,,-51300000,,,-1037600000,-1.11,-1.11,601200000,601200000,1231800000,-301100000,-605700000,,844400000,243000000,0,,,,,3977700000,4266400000,,12347000000,26134200000,3188600000,19717100000,1493000000,,,,,,,,,,,,
2056,1792044,2023,50022200000,10635400000,,28949900000,6746200000,,50022200000,,12100000,5175600000,,,17886300000,,,5575500000,5609500000,4529200000,142300000,-34000000,636200000,,604700000,,,399200000,-1.05,-1.05,1208800000,1208800000,3016900000,-117800000,-3012000000,,701200000,457200000,0,,,,,3519500000,3814500000,,12113700000,22607100000,3024500000,18015200000,0,,,,,,,,,,,,
2057,1792044,2024,47685500000,12976100000,,27218100000,7777400000,,47685500000,,12200000,4639700000,,,16262700000,,,6497000000,4882100000,4179100000,182900000,1614900000,592400000,,734600000,,,224700000,1.71,1.71,1212100000,1217400000,2999000000,1474100000,-3877900000,,1259900000,406000000,3300000,,,,,3469700000,3700400000,,10425800000,19181100000,2759600000,16188100000,,,,,,,,,,,,,
2058,842162,2014,8194100000,4922500000,3408400000,,3579100000,1602300000,8330900000,3487100000,900000,1920300000,,125100000,,,13349500000,312400000,,479300000,104300000,,49900000,,-638000000,1282800000,,,13.04,12.85,98388228,99825686,729800000,-687900000,-396100000,-352100000,1754300000,458300000,,,,,,818700000,2278300000,2438700000,757200000,,1587200000,,,,,,,,,,,,,,
2059,842162,2015,8998200000,5379600000,3770600000,,3957800000,2163100000,9150200000,2958800000,800000,2161700000,,70500000,,,14934300000,360500000,,528700000,108400000,736600000,68400000,,192700000,431400000,,,5.07,4.99,85094889,86415786,820100000,-403900000,-698500000,-264500000,1402200000,460600000,,,,,,853700000,2471700000,2525300000,757200000,,1624700000,,,,,,,,,,,,,,
2060,842162,2016,9618400000,5286600000,4119200000,,3839600000,2548500000,9405800000,2927400000,800000,2827800000,,90300000,,,16234500000,425700000,,529900000,102000000,929200000,67500000,,121400000,672400000,,,8.39,8.23,80187516,81728479,927800000,-780600000,-160800000,-43600000,1137700000,424700000,,,,,,947600000,2590000000,2504400000,726200000,,1826500000,,0,,,,,,,,,,,,
2061,842162,2017,9959500000,5649300000,4251300000,,4182300000,2525400000,9900600000,3057200000,800000,3706900000,,135700000,,,16391600000,535700000,,580500000,126800000,1186800000,86700000,,285500000,745500000,,745500000,9.71,9.59,76754270,77767017,1271100000,-965300000,-156300000,102500000,1094100000,485800000,,,,,,1020600000,2746500000,2640500000,1053800000,,2019300000,,8600000,,,,,,,,,,,,
2062,842162,2018,10600500000,6613000000,5332900000,,4854300000,2645600000,11945900000,4150500000,700000,4171900000,,142100000,,,4416000000,582500000,,608200000,143700000,1461400000,82500000,,370200000,975100000,,975100000,13.48,13.33,72345436,73124949,1619300000,-637100000,-872900000,,1271600000,528300000,,,,,,1205700000,3230800000,3167200000,1121300000,396500000,2459400000,,0,,,,,,,,,,,,
2063,842162,2019,12681200000,6280500000,5320200000,,4500600000,2581400000,11600700000,4200700000,600000,4113600000,,159900000,,,,631400000,,635200000,147900000,1608300000,85700000,,197500000,1313400000,,1287900000,18.79,18.59,68542363,69277981,1783100000,-868600000,-742000000,,1500400000,594500000,,,,,,1196800000,2880300000,2862800000,1401300000,396500000,2598100000,,9900000,,,,,,,,,,,,
2064,842162,2020,12362000000,6406700000,6274000000,,4666200000,3395000000,12680700000,4349700000,600000,4715800000,,151400000,,,,473200000,,612800000,,1654100000,84100000,,311900000,1149800000,,1139400000,17.35,17.22,65672164,66161816,1779800000,-693500000,-1030500000,,1493200000,677000000,,,,,,1258200000,2982600000,2821700000,1405300000,423700000,2704200000,2293700000,19200000,,,,,,,,,,,,
2065,842162,2021,13022300000,6776700000,6421900000,,5076700000,3507000000,13198600000,4467300000,600000,4806800000,,147600000,,,,,,605000000,,1070200000,92000000,,146100000,753600000,,789500000,12.8,12.75,61697192,61923528,1284300000,-922400000,-361900000,,1487700000,603900000,,,,,,1401100000,3269200000,3141600000,1614300000,368200000,2736200000,,0,,,,,,,,,,,,
2066,842162,2022,13422500000,6765200000,6587200000,,4759900000,3784100000,13352400000,4643400000,600000,5072800000,,165000000,,,,,,588900000,,454100000,99600000,,93900000,158500000,,,2.63,2.62,60254380,60429962,663100000,-468800000,-411700000,,1306700000,452300000,,,,,,1571900000,3041500000,2952400000,1655800000,302500000,2720100000,,0,,,,,,,,,,,,
2067,842162,2023,13727300000,6994100000,6768900000,,5188300000,3744400000,13763000000,4678800000,600000,5214100000,,151500000,,,,,,643200000,,675400000,91800000,,137700000,373900000,,,6.22,6.19,60082833,60420484,670100000,-646700000,-13600000,,1318300000,585100000,,,,,,1573600000,3451900000,3206100000,1657900000,,2854000000,,9900000,,,,,,,,,,,,
2068,842162,2024,14404200000,7636900000,7058600000,,5667200000,3967700000,14695500000,4918800000,600000,5601100000,,141800000,,,,1409900000,,684800000,,654300000,24200000,,133700000,327700000,,,5.49,5.47,59674488,59920529,1021400000,-830300000,-387300000,,1114900000,638200000,,,,,,1758000000,3681200000,3434200000,1660600000,,2977400000,,27500000,,,,,,,,,,,,
2077,1500881,2022,18355244,,,5949285,,,,,,,,,,,,,,,,,2556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2078,1500881,2023,223529458,,,8479219,,,,,,,,,,,,,,,,,2556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2079,1500881,2024,326567000,25319000,,64601000,6281000,,326567000,261966000,308198000,-89456000,,0,4245000,,,1589000,27500000,,,-25911000,,,-165000,-23155000,,,-0.22,-0.22,105529292,105529292,-20310000,-11298000,75956000,,7493000,980000,0,,,,,9000,,,,514000,14970000,,20282000,,,,,,,,,,,,
2087,1839412,2021,228800,197258,,206000,206000,,228800,23775,288,-2200,,,,,,,,,,-85,,,,-85,,,,,,,0,0,0,,195758,,,,,,,,,,,,,,,,,,,,,,,,,,
2088,1839412,2022,228800,197258,,206000,206000,,228800,23775,288,-320080000,,0,119113000,,,,,,,-975,9955000,,0,-975,,-17947000,-1.45,-2.55,11797013,44998748,-2700,-20646000,173458,,,808000,0,,34718000,,12622000,5409000,201845000,60726000,58522000,364174000,50682000,418813000,,,,,,,,,,,,,
2089,1839412,2023,672584000,262596000,,789647000,723922000,,688927000,,,-226648000,,-48189000,148161000,,,,,,,-30119000,12343000,,,-5000000,,,,,22171350,22171350,-39623000,1477000,37600000,,,801000,36948000,,34718000,,14766000,9033000,244964000,83298000,14493000,321686000,59818000,,,,,,,,,,,,,,
2091,1175483,2014,4852563000,,,3626439000,,,4852563000,1164845000,3515000,-1947913000,,61279000,40389000,13539000,,,39110000,,,,108236000,,295000,,,428530000,17.84,17.64,24024395,24294402,,-1077154000,1054362000,74542000,156334000,,115200000,,787800000,,,5140000,,,,199725000,,,,,,,,,,,,,,,
2092,1175483,2015,1761906000,,,1503578000,,,1761906000,258292000,664000,-3041880000,,36000,,0,,,49376000,,,,78601000,,0,,,145833000,3.16,3.09,46146882,47218274,,-2926731000,2694591000,-125954000,221798000,,526200000,,787800000,,,4964000,,,,84686000,,,,,,,,,,,,,,,
2093,1175483,2016,1467982000,,,1257860000,,,1467982000,210379000,667000,-3057538000,,-257000,291537000,222983000,,,276220000,,,15317000,80022000,,208000,,,27666000,0.45,0.44,61500913,63131227,,319856000,-389417000,-32082000,42721000,,198702000,,787800000,,,5057000,,,,74472000,,,,,,,,,,,,,,,
2094,1175483,2017,1171958000,861120000,,953891000,698222000,,1171958000,218067000,668000,-3018072000,,0,295856000,224419000,,,318097000,,,-22241000,,,345000,,,16267000,0.24,0.24,66479321,68647915,-2641000,193115000,-218685000,-28211000,73727000,,,,787800000,,,4496000,8047000,,,65112000,217611000,,,,,,,,,,,,,,
2095,1175483,2018,536648000,207512000,,365597000,103985000,,536648000,,670000,-3065853000,,,298880000,46296000,,,338054000,,,-39174000,52868000,,189000,,,71499000,1.07,1.04,66709925,68788440,9363000,-150330000,237391000,,167692000,,0,,,,,4722000,8780000,,,57276000,241258000,,,,,,,,,,,,,,
2096,1175483,2019,401947000,189399000,,267280000,103659000,,401947000,,670000,-3105307000,,0,292594000,,,,232796000,,,-44911000,19827000,,965000,,,-47781000,-0.71,-0.71,66903457,66903457,-12375000,656566000,-617047000,,79235000,,,,,,,2855000,7518000,,,48388000,132605000,,,,,,,,,,,,,,
2097,1175483,2020,401947000,74296000,,267280000,93058000,,515991000,171051000,671000,-3175572000,,,314369000,,,,251794000,,,-26434000,18320000,,284000,-38683000,,-44263000,-0.66,-0.66,66993543,66993543,-7202000,25929000,-109596000,,28423000,,,,,,,2762000,5249000,,,17565000,,,,,,,,,,,,,,,
2098,1175483,2021,457073000,72117000,,448405000,101985000,,457054000,65575000,673000,-3232391000,,0,93235000,,,,,,,-67284000,11008000,,641000,-54854000,,-60434000,-0.9,-0.9,67039556,67039556,-28118000,-11993000,-10744000,,28423000,,0,,,,,1950000,4446000,,,15124000,,,,,,,,,,,,,,,
2099,1175483,2022,499861000,100849000,,447479000,110733000,,482790000,28399000,921000,-3268876000,,1026000,,,,,,,,-7875000,2649000,,495000,-10904000,,-12299000,-0.15,-0.15,82558881,82558881,-7556000,-6542000,52848000,,58286000,,53905000,,,,,2229000,5563000,,,13430000,,,,,,,,,,,,,,,
2109,1853112,2021,182369,,,174147,,,182369,8222,216,-16778,,,,,,,,,,,,,,-16778,,,,,,,-16778,,26428,,,,25000,,,,,,,,,,,,,,,,,,,,,,,,
2110,1853112,2022,182369,182369,,174147,174147,,182369,8322,,-16778,,,,,,,,,,-16678,,,227000,-16678,,,,,,,-10075,-87543750,25000,,,,25000,,,,,,,5000,,,,,,,,,,,,,,,,,
2111,1853112,2023,89099189,255388,,3961771,1158646,,89099189,8222,,-3160634,,,,,,,,,,-199892,,,104832,-160858,,,,,,,-458684,-87543750,88450691,,,,,,,,,,,23474,,,,,,,,,,,,,,,,,
2120,1885754,2021,133735,2490342,,119449,195446,,133735,0,,-10714,,,,,,,,,,-157072,,,,-10714,,,,,,,0,-348201929,351594044,,3786333,,341374440,,,,,,,61715,,,,,,,,,,,,,,,,,
2121,1885754,2022,351398811,2490342,,12143551,195446,,351398811,0,,-8947522,,,,,,,,,,-10714,,,,-10714,,,,,,,-1660754,0,351594044,,1731361,,341374440,,,,,,,61715,,,,,,,,,,,,,,,,,
2122,1885754,2023,354506979,1802897,,11989852,41747,,354506979,-8946669,,-10087808,,,,,,,,,,-325285,,,,-445882,,,,,,,-85000,,,,1095280,,,,,,,,,9563,,,,,,,,,,,,,,,,,
2132,1863719,2022,0,1764762,,6833367,795867,,177993691,0,,-4790107,,,,,,,,,,-10000,,,0,-10000,,,,,,,0,-175950000,25000,25000,,,25000,,,,,,,132555,,,,,,,,,,,,,,,,,
2133,1863719,2023,0,543877,,7336618,1299118,,178655328,-4789676,,-6349715,,,,,,,,,,-411525,,,0,-394797,,,,,,,-246156,0,-60373,,,,,,,,,,,26795,,,,,,,,,,,,,,,,,
2134,1863719,2024,148659874,103976,,19358309,19358309,,148659874,-6349284,,-18510810,,,,,,,,,,-2373223,,,382013,-857507,,,,-0.31,,,-253390,-1623252,1725000,,,,,,,,,,,3383281,,,,,,,,,,,,,,,,,
2135,356590,2014,68827,60549,,2710265,1637103,1073162,68827,-5599481,8975,-149637387,,,0,,,0,113361,,,-113361,17249,,0,-130610,,,,,,,-560,21977,560,3057,0,6584,,,,,3296,,4731,,,,8278,,,,,,,,,,,,,,
2136,356590,2015,87548,82094,,3031770,1871875,1159895,87548,-2641438,9225,-149986982,,,15490,,,6976,76852,,,-69876,25706,,0,-95582,,,,,,,-66726,0,66620,-106,1169,0,,,,,706,,2385,,,,5454,,,,,,,,,,,,,,
2137,356590,2016,109247,106252,,3322130,3322130,0,109247,-2944222,92251,-150295275,,,1126,,11987,-7638,61321,,,-68959,30000,,0,-94635,,,,,,,-21946,0,20804,-1142,1689,,370000,,,,705,,0,,,,2995,,,,,,,,,,,,,,
2138,356590,2017,288068,286389,,3314508,3314508,1315196,288068,-3212883,124527,-158369301,,,,,377,-377,82838,,,-35215,30000,,,-110180,,,,,,,-69562,72422,61663,64523,108,,50000,,,,330,,,,,,1679,,,,,,,,,,,,,,
2139,356590,2018,297252,296890,,4390137,4390137,,297252,-3026440,155577,-160003137,,,,,,,213998,,,-213998,30000,,,-148583,,,,,,,-35628,,17771,-17857,40656,,128634,,,,329,,,,,,362,,,,,,,,,,,,,,
2140,356590,2019,190771,138939,,5476366,5476366,3540405,190771,-4156573,170777,-162886254,,,,,,,251580,,,-251580,25715,,,-277295,,,,,,,-79232,206236,40061,,7819,,,,,,329,,,,,,,,,,,,,,,,,,,,
2141,356590,2020,45479,222387,,5751917,2211512,3540405,45479,-5285593,205278,-166463681,,,,,,,277227,,,-277227,26199,,,-267811,,,,,,,4727,206236,-8726,,1435,3213,25000,,,,,,,,,,2946,,,,,,,,,,,,,,
2142,356590,2021,258592,255646,,2032771,2032771,706588,258592,-5706438,230498,-170403189,,,,,,8500,200865,600750,,-200865,57005,,,-284846,,,-0.01,,207923257,,-28937,143,28901,,2479,3213,108471,,0,922000,1845,290710,,,6443559,5000,2946,,,,,,,,,,,,,,
2143,356590,2022,8420518,891574,,4545928,3839340,706588,8420518,-1774179,255791,-234007597,,,,,,19087,724297,,,-724297,19445,,,-675742,,,-0.01,,234531338,,-72518,-72845,126815,,359143,5000,,,,150000,,290710,,,6443559,3333,112603,,,,,,,,,,,,,,
2144,356590,2023,18347244,3356164,,8839748,4051571,4788177,18347244,3874590,262251,-247730858,,,,,,,1142845,,,-1142845,58527,,,-1228372,,,0,-0.01,255862345,256507508,35121,-183933,139486,,3320164,,,,,50000,,,1631768,,,14990277,803,,,,,,,,,,,,,,
2151,1434265,2019,8460999000,,,446639000,,,,,,,,,,,,,,,874000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2152,1434265,2020,15144000000,,,1096000000,,,,,,,,,,,,,,,1431000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2153,1434265,2021,21143000000,,,2022000000,,,,,,,,,,,,,,342000000,2386000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2154,1434265,2022,24627000000,,,2431000000,,,,,,,,,,,,,,661000000,3137000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2155,1434265,2023,24538000000,,,2431000000,,,,,,,,,,,,,,1283000000,4181000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2156,1434265,2024,35289000000,,,3679000000,,,,,,,,,,,,,,2676000000,5562000000,,,,,,,,,,,,,,,,,,,,,,,,,,2518000000,,,,,,,,,,,,,,,,
2161,1756640,2018,24975,20654,4321,63526,63526,,24975,2000,5000,-43551,,,5084,,,797,,,,,,,,-51551,,,,,,,-42755,-4321,64063,16987,16987,4321,5000,,,,,,,3284,,,4321,,,,,,,,,,,,,,
2162,1756640,2019,24975,20654,4321,71526,71526,837218,24975,2000,5000,-51551,,,5502179,,,80,,,,-37932,,,28292,-37932,,,,,,,-35432,-4321,41866,192665,16987,4321,5000,,,,216,39084,12318,3284,,,4321,,,,,,,,,,,,,,
2163,1756640,2020,3139660,1930884,1208776,1608186,820709,787477,3139660,-46551,10240,803938,,,101681,,,20385,,,,4661,,,28292,4661,,,,,,,-17123,-233596,209788,,362771,234412,260000,,,,,143559,1216773,31181,,,226094,,,,,,,,,,,,,,
2164,1756640,2021,1643161,1555713,87448,651316,643190,8126,1643161,1531474,10240,213153,,,3668,,,44583,,,,-79385,,,3014,-79352,,,0,,102400000,,-22944,-134312,9097,,67777,,,,,,,466363,188360,,,,11928,,,,,,,,,,,,,,
2171,1668717,2017,256586000000,,,,,,,,,,,,,,,26467000000,,,207000000,,1833000000,,,,,,,,,,,,,,,,,,,,,,,,135864000000,,,,,,,,,,,,,,,,
2172,1668717,2018,246126000000,,,,,,,,,,,,,,,27715000000,,,244000000,,4092000000,,,,,,,,,,,,,,,,,,,,,,,,140940000000,,,,,,,,,,,,,,,,
2173,1668717,2019,248208000000,,,,,,,,,,,,,,,33884000000,,,265000000,,4314000000,,,,,,,,,,,,,,,,,,,,,,,,140940000000,,,,,,,,,,,,,,,,
2174,1668717,2020,236648000000,,,,,,,,,,,,,,,33108000000,,,276000000,,2110000000,,,,,,,,,,,,,,,,,,,,,,,,128114000000,,,,,,,,,,,,,,,,
2175,1668717,2021,226410000000,,,,,,,,,,,,,,,31967000000,,,291000000,,4168000000,,,,,,,,,,,,,,,,,,,,,,,,120971000000,,,,,,,,,,,,,,,,
2176,1668717,2022,217627000000,,,,,,,,,,,,,,,27247000000,,,,,-4004000000,,,,,,,,,,,,,,,,,,,,,,,,115796000000,,,,,,,,,,,,,,,,
2177,1668717,2023,212943000000,,,,,,,,,,,,,,,31207000000,,,,,3674000000,,,,,,,,,,,,,,,,,,,,,,,,113010000000,,,,,,,,,,,,,,,,
2178,1668717,2024,219340000000,,,,,,,,,,,,,,,31481000000,,,,,3588000000,,,,,,,,,,,,,,,,,,,,,,,,117043000000,,,,,,,,,,,,,,,,
2185,1814287,2020,239716,1060348,,12120345,215184,,239716,24532,,-468,,,,,,,,,,,,,,-468,,-129076,,,,,-95,-345000000,25095,,,,25000,,,,,,,,,,,,,,,,,,,,,,,,
2186,1814287,2021,345850539,824435,,44927315,,,345850539,24532,,-44101776,,,,,,,,,,,,,,-468,,4951070,,,,,-95,-345000000,25095,,,,25000,,,,,,,,,,,,,,,,,,,,,,,,
2187,1814287,2022,345993643,944755,,29231054,1644254,,345993643,-44076776,,-28262411,,,,,,,,,,,,,17727,10788946,,10788946,,,,,-272285,52400,1500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2188,1814287,2023,99374190,151486,,18780609,14204359,,99374190,-28237411,,-18414856,,899538,18276299,,,16190224,3728832,,,12461392,0,,296806,9383814,,9383814,0.23,0.23,50369350,50369350,-280628,52400,7744154,,30052823,0,,,,,2141,,,40014,0,0,18617,,,,,,,,,,,,,,
2189,1814287,2024,331826067,31776834,,167755991,23326331,,331826067,,,-34726135,,138283,10273389,,,9783839,2255152,,,7528687,357383,,-656467,8085503,,8085503,0.16,0.16,50369350,50369350,-17380815,-998337,8048481,,25588668,0,0,,,,1043,,,,140287000,29623130,400720,,,,,,,,,,,,,,
2194,1744494,2018,222076149,1016104,,7965591,247364,,222076149,0,,307638,,,,,,,,,,-118637,,,113000,307638,,-45375,,,,,-114098,-220520770,221521147,,,,25000,,,,,,,,,,,,,,,,,,,,,,,,
2195,1744494,2019,222076149,1016104,,7965591,247364,,222076149,0,,307638,,,,,,,,,,-2600,,,0,-2600,,-2600,,,,,-2600,0,127600,,,,25000,,,,,,,55364,,,,,,,,,,,,,,,,,
2196,1744494,2020,226010880,577531,,18171435,1284206,,226010880,5000008,221,18521524,,,,,,,,,,-241137,,,229000,790254,,-83909,,,,,-150701,0,0,,,,25000,,,,,,,25496,,,,,,,,,,,,,,,,,
2197,1744494,2021,1894061,1695188,198873,3687534,3428792,258742,1894061,-833802,2503,-12901518,,,731874,,,34229,,302669,51269,-90945,,,0,-216616,,,-0.01,-0.01,14979803,14979803,-341666,-34699,942297,,515734,,,,500000,,,107939,421059,881394,0,0,198873,,,,,,,,,,,,,,
2198,1744494,2022,163031000,97351000,65680000,32830000,18871000,13959000,163031000,-1794000,5000,-33425000,,,4167000,,,1142000,,7922000,29000,-6958000,,,0,2906000,,,0.08,0.07,37769554,40987346,-12196000,-4053000,140693000,,79764000,,262000,,40000,,,6958000,3139000,4837000,29399000,23344000,8585000,,,,,,,,,,,,,,
2199,1744494,2023,89588000,49500000,40088000,25440000,13666000,11774000,89588000,130201000,5000,-107762000,,,1256000,,,-261000,,10498000,2149000,-13099000,,,-657000,-4096000,,,-0.08,-0.08,51253591,51253591,-19311000,-1010000,-41000,,45786000,2673000,3410000,,40000,,,12620000,979000,4680000,5742000,6062000,17938000,,,,,,,,,,,,,,
2200,1744494,2024,34737000,8835000,25902000,21289000,11913000,9376000,34737000,64148000,8000,-179159000,,,977000,,,-507000,,8489000,3141000,-11824000,,,796000,-11988000,,,-6.92,-6.92,1733439,1733439,-11448000,-1887000,3410000,,19545000,,,,101000,,,2707000,191000,5087000,,79000,21549000,,,,,,,,,,,,,,
2201,1026214,2014,1966061000000,,,1953226000000,,,1966061000000,-146000000,0,-69719000000,,,,,,,,,,,66502000000,,-1537000000,10982000000,,-2074000000,,,,,1108000000,140162000000,-122050000000,-19929000000,28442000000,,,,,,,,,,,,,,,,,,,,,,,,,,
2202,1026214,2015,1945539000000,,,1942888000000,,,1945539000000,8827000000,0,-81639000000,,,,,,,,,,,55779000000,,-23305000000,48668000000,,-3531000000,,,,,,,,2768000000,8513000000,,,,,,,,,,,,,,,,,,,,,,,,,,
2203,1026214,2016,1985892000000,,,1982952000000,,,1985892000000,12835000000,0,-80773000000,,,,,,,,,,,54916000000,,3312000000,7690000000,10026000000,-2336000000,,,,,,,,-353000000,11281000000,,,,,,,,,,,,,,,,,,,,,,,,,,
2204,1026214,2017,2023376000000,,,2018301000000,,,2023376000000,2651000000,0,-77941000000,,,,,,,,,,,52144000000,,2898000000,6376000000,6399000000,-23000000,,,,,-934000000,178946000000,-183345000000,-5333000000,10928000000,,,,,,,,,,,,630000000,,,,,,,,,,,,,,
2205,1026214,2018,2049776000000,,,2050088000000,,,2049776000000,2940000000,0,-83261000000,,,,,,,,,,,50786000000,,3824000000,7815000000,7718000000,97000000,,,,,4395000000,164546000000,-166849000000,,9811000000,,,,,,,,,,,,798000000,,,,,,,,,,,,,,
2206,1026214,2019,2063060000000,,,2058583000000,,,2063060000000,5075000000,0,-78260000000,,,,,,,,,,,53643000000,,11209000000,5625000000,8869000000,-3244000000,,,,,4224000000,144556000000,-161189000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2207,1026214,2020,2193780000000,,,2184658000000,,,2193780000000,-312000000,0,-74188000000,,,,,,,,,,,58033000000,,2239000000,9235000000,5623000000,3612000000,,,,,674000000,119648000000,-122860000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208,1026214,2021,2627415000000,,,2611002000000,,,2627415000000,4477000000,0,-67102000000,,,,,,,,,,,61047000000,,1835000000,7214000000,7787000000,-573000000,-0.18,-0.18,3234000000,3234000000,12197000000,48152000000,-62433000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2209,1026214,2022,3025586000000,,,2997553000000,,,3025586000000,9122000000,0,-54993000000,,,,,,,,,,,49569000000,,1903000000,7326000000,7291000000,35000000,0.01,0.01,3234000000,3234000000,907000000,-83355000000,101148000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,1026214,2023,3208333000000,,,3171315000000,,,3208333000000,16413000000,0,-45666000000,,,,,,,,,,,43947000000,,3090000000,12109000000,11620000000,489000000,0.15,0.15,3234000000,3234000000,16353000000,24250000000,-54342000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2211,1026214,2024,3280976000000,,,3233254000000,,,3280976000000,28033000000,0,-35128000000,,,,,,,,,,,65453000000,,2277000000,9327000000,8985000000,342000000,0.11,0.11,3234000000,3234000000,11925000000,11398000000,-27113000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2212,1355250,2014,2970513,2960113,,8140000,8140675,,2970513,100,10046,-19773000,,,,,,,4197000,,633000,-4197000,257000,,,-530,,-4960000,-0.01,-0.01,90159045,90159045,,,,,0,,,,,,,,,1849077,,,40950,,,,,,,,,,,,,,
2213,1355250,2015,10852000,5556000,,9646000,9646000,,10852000,-7626000,11000,-28020000,,,,,,,2983000,,1510000,-2983000,241000,,,-3224000,,-3436000,,,94980552,94980552,,,,,0,,,,,,,,,2664000,,,39000,,,,,,,,,,,,,,
2214,1355250,2016,14319000,8769000,,7295000,7295000,,14319000,-5171000,12000,-41165000,,,,,,,8038000,,6344000,-8038000,210000,,,-8247000,,-10227000,-0.04,-0.04,94980552,94980552,,,,,0,,,,,,,,,1838000,,,38000,,,,,,,,,,,,,,
2215,1355250,2017,11445000,6608000,,8481000,8481000,,11445000,1206000,,-54017000,,,,,,,12956000,,10531000,-12956000,202000,,,-13145000,,,-0.02,-0.02,115087368,115087368,,,,,,,,,,,,,,3528000,,,90000,,,,,,,,,,,,,,
2216,1355250,2018,9112000,4475000,,10576000,10576000,,9112000,2964000,,-69553000,,,,,,,2978000,,2277000,-2978000,51000,,,-3028000,,,,,127285861,,-11711000,-336000,9878000,,,,,,,,,,,4699000,,,120000,,,,,,,,,,,,,,
