idpk,CIK,year,assets,CurrentAssets,NoncurrentAssets,liabilities,CurrentLiabilities,NoncurrentLiabilities,LiabilitiesAndStockholdersEquity,equity,CommonStockValue,RetainedEarningsAccumulatedDeficit,AccumulatedOtherComprehensiveIncomeLoss,MinorityInterest,revenues,SalesRevenueNet,CostOfGoodsSold,GrossProfit,OperatingExpenses,SellingGeneralAndAdministrativeExpense,ResearchAndDevelopmentExpense,OperatingIncomeLoss,InterestExpense,IncomeBeforeIncomeTaxes,IncomeTaxExpenseBenefit,NetIncomeLoss,PreferredStockDividendsAndOtherAdjustments,NetIncomeLossAvailableToCommonStockholdersBasic,EarningsPerShareBasic,EarningsPerShareDiluted,WeightedAverageNumberOfSharesOutstandingBasic,WeightedAverageNumberOfDilutedSharesOutstanding,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInFinancingActivities,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndCashEquivalentsAtCarryingValue,PaymentsToAcquirePropertyPlantAndEquipment,ProceedsFromIssuanceOfCommonStock,PaymentsOfDividends,RepaymentsOfDebt,ProceedsFromIssuanceOfDebt,DepreciationAndAmortization,InventoryNet,AccountsReceivableNetCurrent,AccountsPayableCurrent,Goodwill,IntangibleAssetsNetExcludingGoodwill,PropertyPlantAndEquipmentNet,LongTermDebtNoncurrent,ShortTermBorrowings,IncomeTaxesPayableCurrent,EntityRegistrantName,EntityCentralIndexKey,TradingSymbol,EntityIncorporationStateCountryCode,EntityFilerCategory,DocumentPeriodEndDate,DocumentFiscalPeriodFocus,DocumentFiscalYearFocus,DocumentType,AmendmentFlag,CurrentFiscalYearEndDate
6804,1311370,2019,4928677000,,,4027148000,,,4997241000,916851000,1298000,1195563000,,53242000,2697829000,,,,,,,825446000,53518000,,565599000,253583000,,253583000,2.09,1.91,121573442,132479728,1029115000,-26920000,-318508000,,1483836000,27670000,,,,,,,,,373117000,,212946000,,,,,,,,,,,,,,
6805,1311370,2020,4997241000,,,4958007000,,,5639581000,609991000,1128000,1193570000,,71583000,2884833000,,,,,,,680766000,58481000,,148317000,527125000,,527125000,4.43,4.06,119006531,129767592,699038000,-46209000,-726104000,,1246537000,49593000,,,,,,,,,385292000,,219842000,,,,,,,,,,,,,,
6806,1311370,2021,5639581000,,,4972428000,,,5971861000,911772000,1128000,1295386000,,87661000,2666958000,,,,,,,392698000,80185000,,94982000,286500000,,283110000,2.57,2.44,110189862,116079806,677953000,-42248000,-444050000,,1231593000,42757000,,,,,,,,,371561000,,257587000,,,,,,,,,,,,,,
6807,1311370,2022,5971861000,,,5494217000,,,7147181000,975220000,1128000,1560636000,,102744000,2646769000,,,,,,,502141000,80631000,,99449000,402461000,,394794000,3.69,3.54,106862739,113483380,575931000,-62939000,-547351000,,1389876000,64286000,,,,,,,,,371773000,,250005000,,,,,,,,,,,,,,
6808,1311370,2023,5852561000,,,4593691000,,,5852561000,556463000,1128000,1676713000,,118936000,3273816000,,,,,,,723848000,80768000,,181303000,528064000,,519417000,4.9,4.63,106035808,113674699,866079000,-39056000,195836000,,1465022000,39698000,,,,,,,,,383861000,,250073000,,,,,,,,,,,,,,
6809,1311370,2024,4635781000,,,4065919000,,,4635781000,423759000,1128000,1402636000,,58428000,2855093000,,,,,,,516848000,81522000,,124365000,357517000,,351785000,3.68,3.51,95664129,100997674,833984000,-56438000,-1382035000,,1234773000,49511000,,,,,,,,,379421000,,232516000,,,,,,,,,,,,,,
6817,1841338,2021,293296812,1481748,,10108337,45837,,293296812,24000,719,-8624744,,,,,,,,,,-59157,,,,-56593,,,,,,,-726982,-291812500,293326618,,787136,,25000,,,,,,,,,,,,,,,,,,,,,,,,
6818,1841338,2022,293122157,1279375,,11395369,1332869,,293122157,24000,719,-10086431,,,,,,,,,,-1000,,,67310,-1000,,,,,,,-726982,-291812500,293326618,,675364,,-25000,,,,,,,,,,,,,,,,,,,,,,,,
6822,1651958,2015,54123,54123,,150000,150000,,54123,-95877,54123,-150000,,,,,,,,,,150000,,,,150000,,,,,,,,,,54123,54123,,54123,,,,,,,,,,,,,,,,,,,,,,,,
6823,1651958,2016,54132,54132,,150000,150000,,54132,-95868,54123,-149991,,,,,,,,,,-150000,,,,-150000,,,,,,,,,,54123,54123,,54123,,,,,,,,,,,,,,,,,,,,,,,,
