idpk,CIK,year,AnnualReportLink,QuarterlyReportLinkQ1,QuarterlyReportLinkQ2,QuarterlyReportLinkQ3,QuarterlyReportLinkQ4
2188,1591588,2018,https://www.sec.gov/Archives/edgar/data/1591588/000159158818000044/a-mark10xkw2018junfs.htm,https://www.sec.gov/Archives/edgar/data/1591588/000159158818000016/a-mark10xqw2018marfs.htm,,https://www.sec.gov/Archives/edgar/data/1591588/000159158818000057/a-mark10xqw2018sepfs.htm,https://www.sec.gov/Archives/edgar/data/1591588/000159158819000006/a-mark10xqw2018decfs.htm
2189,1591588,2017,https://www.sec.gov/Archives/edgar/data/1591588/000159158817000062/a-mark10xkw2017junfs.htm,https://www.sec.gov/Archives/edgar/data/1591588/000159158817000031/a-mark10xqw2017marfs.htm,,https://www.sec.gov/Archives/edgar/data/1591588/000159158817000082/a-mark10xqw2017sepfs.htm,https://www.sec.gov/Archives/edgar/data/1591588/000159158818000006/a-mark10xqw2017decfs.htm
2190,1591588,2016,https://www.sec.gov/Archives/edgar/data/1591588/000159158816000183/a-mark10xkaw2016wexplanati.htm,https://www.sec.gov/Archives/edgar/data/1591588/000159158816000155/a-mark10xqw2016marfs.htm,,https://www.sec.gov/Archives/edgar/data/1591588/000159158816000189/a-mark10xqw2016sepfs.htm,https://www.sec.gov/Archives/edgar/data/1591588/000159158817000010/a-mark10xqw2016decfs.htm
2191,1591588,2015,https://www.sec.gov/Archives/edgar/data/1591588/000159158815000072/a-mark10xkw2015junfs.htm,https://www.sec.gov/Archives/edgar/data/1591588/000159158815000026/a-mark10xqw2015marfs.htm,,https://www.sec.gov/Archives/edgar/data/1591588/000159158815000080/a-mark10xqw2015sepfs.htm,https://www.sec.gov/Archives/edgar/data/1591588/000159158816000122/a-mark10xqw2015decfs.htm
2192,1591588,2014,https://www.sec.gov/Archives/edgar/data/1591588/000159158814000110/a-mark10xkw2014junefs.htm,https://www.sec.gov/Archives/edgar/data/1591588/000159158814000092/a-mark10xqw2014marfs.htm,,https://www.sec.gov/Archives/edgar/data/1591588/000159158814000113/a-mark10xqw2014sepfs.htm,https://www.sec.gov/Archives/edgar/data/1591588/000159158815000004/a-mark10xqw2014decfs.htm
2193,1816581,2024,https://www.sec.gov/Archives/edgar/data/1816581/000162828025014318/oust-20241231.htm,https://www.sec.gov/Archives/edgar/data/1816581/000162828024022948/oust-20240331.htm,https://www.sec.gov/Archives/edgar/data/1816581/000162828024036996/oust-20240630.htm,https://www.sec.gov/Archives/edgar/data/1816581/000162828024046736/oust-20240930.htm,
2194,1816581,2023,https://www.sec.gov/Archives/edgar/data/1816581/000162828024013619/oust-20231231.htm,https://www.sec.gov/Archives/edgar/data/1816581/000162828023017873/oust-20230331.htm,https://www.sec.gov/Archives/edgar/data/1816581/000162828023029351/oust-20230630.htm,https://www.sec.gov/Archives/edgar/data/1816581/000162828023038609/oust-20230930.htm,
2195,1816581,2022,https://www.sec.gov/Archives/edgar/data/1816581/000162828023009161/oust-20221231.htm,https://www.sec.gov/Archives/edgar/data/1816581/000162828022013060/oust-20220331.htm,https://www.sec.gov/Archives/edgar/data/1816581/000162828022021334/oust-20220630.htm,https://www.sec.gov/Archives/edgar/data/1816581/000162828022028989/oust-20220930.htm,
2196,1816581,2021,https://www.sec.gov/Archives/edgar/data/1816581/000162828022004256/oust-20211231.htm,https://www.sec.gov/Archives/edgar/data/1816581/000162828021010318/oust-20210331.htm,https://www.sec.gov/Archives/edgar/data/1816581/000162828021016321/oust-20210630.htm,https://www.sec.gov/Archives/edgar/data/1816581/000162828021023387/oust-20210930.htm,
2197,1816581,2020,https://www.sec.gov/Archives/edgar/data/1816581/000119312521204699/d134454d10ka.htm,,,https://www.sec.gov/Archives/edgar/data/1816581/000119312520293220/d97857d10q.htm,
