idpk,CIK,year,AnnualReportLink,QuarterlyReportLinkQ1,QuarterlyReportLinkQ2,QuarterlyReportLinkQ3,QuarterlyReportLinkQ4
31,0001372299,2023,https://www.sec.gov/Archives/edgar/data/1372299/000110465924054193/tm2410371d3_10ka.htm,https://www.sec.gov/Archives/edgar/data/1372299/000162828023016011/ocgn-20230331.htm,https://www.sec.gov/Archives/edgar/data/1372299/000162828023030128/ocgn-20230630.htm,https://www.sec.gov/Archives/edgar/data/1372299/000162828023038008/ocgn-20230930.htm,
32,0001372299,2022,https://www.sec.gov/Archives/edgar/data/1372299/000162828023005382/ocgn-20221231.htm,https://www.sec.gov/Archives/edgar/data/1372299/000162828022012850/ocgn-20220331.htm,https://www.sec.gov/Archives/edgar/data/1372299/000162828022021255/ocgn-20220630.htm,https://www.sec.gov/Archives/edgar/data/1372299/000162828022028775/ocgn-20220930.htm,
33,0001372299,2021,https://www.sec.gov/Archives/edgar/data/1372299/000162828022004085/ocgn-20211231.htm,https://www.sec.gov/Archives/edgar/data/1372299/000162828021009457/ocgn-20210331.htm,https://www.sec.gov/Archives/edgar/data/1372299/000162828021015998/ocgn-20210630.htm,https://www.sec.gov/Archives/edgar/data/1372299/000162828021022421/ocgn-20210930.htm,
34,0001372299,2020,https://www.sec.gov/Archives/edgar/data/1372299/000162828021005124/ocgn-20201231.htm,https://www.sec.gov/Archives/edgar/data/1372299/000162828020007094/ocgn-20200331.htm,https://www.sec.gov/Archives/edgar/data/1372299/000162828020012662/ocgn-20200630.htm,https://www.sec.gov/Archives/edgar/data/1372299/000162828020015862/ocgn-20200930.htm,
35,0001372299,2019,https://www.sec.gov/Archives/edgar/data/1372299/000110465920053502/tm2017927-1_10ka.htm,https://www.sec.gov/Archives/edgar/data/1372299/000119312519147982/d938452d10q.htm,https://www.sec.gov/Archives/edgar/data/1372299/000119312519217994/d764688d10q.htm,https://www.sec.gov/Archives/edgar/data/1372299/000110465919062626/a19-21452_110q.htm,
36,0001372299,2018,https://www.sec.gov/Archives/edgar/data/1372299/000156459019008830/hsgx-10k_20181231.htm,https://www.sec.gov/Archives/edgar/data/1372299/000156459018012937/hsgx-10q_20180331.htm,https://www.sec.gov/Archives/edgar/data/1372299/000156459018021035/hsgx-10q_20180630.htm,https://www.sec.gov/Archives/edgar/data/1372299/000156459018028656/hsgx-10q_20180930.htm,
37,0001372299,2017,https://www.sec.gov/Archives/edgar/data/1372299/000156459018005711/hsgx-10k_20171231.htm,https://www.sec.gov/Archives/edgar/data/1372299/000119312517176830/d401317d10qa.htm,https://www.sec.gov/Archives/edgar/data/1372299/000119312517254439/d415517d10q.htm,https://www.sec.gov/Archives/edgar/data/1372299/000119312517338756/d395446d10q.htm,
38,0001372299,2016,https://www.sec.gov/Archives/edgar/data/1372299/000119312517085372/d293850d10k.htm,https://www.sec.gov/Archives/edgar/data/1372299/000119312516588892/d176144d10q.htm,https://www.sec.gov/Archives/edgar/data/1372299/000119312516679283/d212966d10q.htm,https://www.sec.gov/Archives/edgar/data/1372299/000119312516765874/d241697d10q.htm,
39,0001372299,2015,https://www.sec.gov/Archives/edgar/data/1372299/000119312516500103/d50202d10k.htm,https://www.sec.gov/Archives/edgar/data/1372299/000119312515188172/d910295d10q.htm,https://www.sec.gov/Archives/edgar/data/1372299/000119312515288281/d49947d10q.htm,https://www.sec.gov/Archives/edgar/data/1372299/000119312515375659/d35240d10q.htm,
40,0001372299,2014,https://www.sec.gov/Archives/edgar/data/1372299/000119312515109659/d886285d10k.htm,,,,
41,0001616318,2024,https://www.sec.gov/Archives/edgar/data/1616318/000161631824000061/vsto-20240331.htm,,https://www.sec.gov/Archives/edgar/data/1616318/000161631824000080/vsto-20240630.htm,https://www.sec.gov/Archives/edgar/data/1616318/000161631824000105/vsto-20240930.htm,
42,0001616318,2023,https://www.sec.gov/Archives/edgar/data/1616318/000161631823000091/vsto-20230331.htm,,https://www.sec.gov/Archives/edgar/data/1616318/000161631823000124/vsto-20230625.htm,https://www.sec.gov/Archives/edgar/data/1616318/000161631823000163/vsto-20230924.htm,https://www.sec.gov/Archives/edgar/data/1616318/000161631824000016/vsto-20231224.htm
43,0001616318,2022,https://www.sec.gov/Archives/edgar/data/1616318/000161631822000063/vsto-20220331.htm,,https://www.sec.gov/Archives/edgar/data/1616318/000161631822000089/vsto-20220626.htm,https://www.sec.gov/Archives/edgar/data/1616318/000161631822000130/vsto-20220925.htm,https://www.sec.gov/Archives/edgar/data/1616318/000161631823000009/vsto-20221225.htm
44,0001616318,2021,https://www.sec.gov/Archives/edgar/data/1616318/000161631821000080/vsto-20210331.htm,,https://www.sec.gov/Archives/edgar/data/1616318/000161631821000118/vsto-20210627.htm,https://www.sec.gov/Archives/edgar/data/1616318/000161631821000149/vsto-20210926.htm,https://www.sec.gov/Archives/edgar/data/1616318/000161631822000017/vsto-20211226.htm
45,0001616318,2020,https://www.sec.gov/Archives/edgar/data/1616318/000161631820000081/vsto-3312020x10xk.htm,,https://www.sec.gov/Archives/edgar/data/1616318/000161631820000123/vsto-0628202010q.htm,https://www.sec.gov/Archives/edgar/data/1616318/000161631820000148/vsto-20200927.htm,https://www.sec.gov/Archives/edgar/data/1616318/000161631821000020/vsto-20201227.htm
46,0001616318,2019,https://www.sec.gov/Archives/edgar/data/1616318/000161631819000032/vsto-3312019x10xk.htm,,https://www.sec.gov/Archives/edgar/data/1616318/000161631819000067/vsto-0630201910q.htm,https://www.sec.gov/Archives/edgar/data/1616318/000161631819000100/vsto-0929201910q.htm,https://www.sec.gov/Archives/edgar/data/1616318/000161631820000015/vsto-1229201910q.htm
47,0001616318,2018,https://www.sec.gov/Archives/edgar/data/1616318/000161631818000051/vsto-3312018x10xk.htm,,,https://www.sec.gov/Archives/edgar/data/1616318/000161631818000098/vsto-0930201810q.htm,https://www.sec.gov/Archives/edgar/data/1616318/000161631819000013/vsto-1230201810q.htm
48,0001616318,2017,https://www.sec.gov/Archives/edgar/data/1616318/000161631817000102/vsto-3312017x10xk.htm,https://www.sec.gov/Archives/edgar/data/1616318/000161631817000017/vsto-01012017x10xq.htm,,https://www.sec.gov/Archives/edgar/data/1616318/000161631817000139/vsto-07022017x10xq.htm,https://www.sec.gov/Archives/edgar/data/1616318/000161631818000008/vsto-1231201710q.htm
49,0001616318,2016,https://www.sec.gov/Archives/edgar/data/1616318/000161631816000100/vsto-3312016x10xk.htm,https://www.sec.gov/Archives/edgar/data/1616318/000161631816000035/vsto-01032016x10xq.htm,,https://www.sec.gov/Archives/edgar/data/1616318/000161631816000135/vsto-07032016x10xq.htm,https://www.sec.gov/Archives/edgar/data/1616318/000161631816000145/vsto-10022016x10xq.htm
50,0001616318,2015,https://www.sec.gov/Archives/edgar/data/1616318/000161631815000008/vsto-3312015x10xk.htm,,,https://www.sec.gov/Archives/edgar/data/1616318/000161631815000023/vsto-07052015x10xq.htm,https://www.sec.gov/Archives/edgar/data/1616318/000161631815000027/vsto-10042015x10xq.htm
51,0001616318,2014,,,,,https://www.sec.gov/Archives/edgar/data/1616318/000161631815000004/vsto-12282014x10xq.htm
52,0001606163,2024,https://www.sec.gov/Archives/edgar/data/1606163/000162828025011745/lmb-20241231.htm,https://www.sec.gov/Archives/edgar/data/1606163/000162828024021719/lmb-20240331.htm,https://www.sec.gov/Archives/edgar/data/1606163/000162828024035219/lmb-20240630.htm,https://www.sec.gov/Archives/edgar/data/1606163/000162828024045297/lmb-20240930.htm,
