idpk,CIK,year,assets,CurrentAssets,NoncurrentAssets,liabilities,CurrentLiabilities,NoncurrentLiabilities,LiabilitiesAndStockholdersEquity,equity,CommonStockValue,RetainedEarningsAccumulatedDeficit,AccumulatedOtherComprehensiveIncomeLoss,MinorityInterest,revenues,SalesRevenueNet,CostOfGoodsSold,GrossProfit,OperatingExpenses,SellingGeneralAndAdministrativeExpense,ResearchAndDevelopmentExpense,OperatingIncomeLoss,InterestExpense,IncomeBeforeIncomeTaxes,IncomeTaxExpenseBenefit,NetIncomeLoss,PreferredStockDividendsAndOtherAdjustments,NetIncomeLossAvailableToCommonStockholdersBasic,EarningsPerShareBasic,EarningsPerShareDiluted,WeightedAverageNumberOfSharesOutstandingBasic,WeightedAverageNumberOfDilutedSharesOutstanding,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInFinancingActivities,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndCashEquivalentsAtCarryingValue,PaymentsToAcquirePropertyPlantAndEquipment,ProceedsFromIssuanceOfCommonStock,PaymentsOfDividends,RepaymentsOfDebt,ProceedsFromIssuanceOfDebt,DepreciationAndAmortization,InventoryNet,AccountsReceivableNetCurrent,AccountsPayableCurrent,Goodwill,IntangibleAssetsNetExcludingGoodwill,PropertyPlantAndEquipmentNet,LongTermDebtNoncurrent,ShortTermBorrowings,IncomeTaxesPayableCurrent,EntityRegistrantName,EntityCentralIndexKey,TradingSymbol,EntityIncorporationStateCountryCode,EntityFilerCategory,DocumentPeriodEndDate,DocumentFiscalPeriodFocus,DocumentFiscalYearFocus,DocumentType,AmendmentFlag,CurrentFiscalYearEndDate
19,0001413447,2021,19847000000,4324000000,15523000000,10696000000,2017000000,8679000000,19847000000,8944000000,58000000,-4328000000,,207000000,,,,4618000000,4002000000,924000000,1643000000,641000000,370000000,,20000000,243000000,,,0.86,0.85,282056000,285911000,2373000000,-2284000000,-1831000000,,2275000000,526000000,,,,,2047000000,1030000000,765000000,991000000,9949000000,,2448000000,,,,,,,,,,,,,,
20,0001413447,2022,20864000000,5228000000,15636000000,14094000000,2452000000,11642000000,20864000000,6528000000,55000000,-5371000000,,242000000,,,,4235000000,3931000000,879000000,1725000000,418000000,362000000,,-83000000,52000000,,,0.19,0.18,279763000,283809000,2482000000,-418000000,-835000000,,2830000000,392000000,,,,,1988000000,1189000000,923000000,1252000000,9984000000,,2284000000,,,,,,,,,,,,,,
21,0001413447,2023,23236000000,6935000000,16301000000,15496000000,3270000000,12226000000,23236000000,7449000000,55000000,-3975000000,,291000000,,,,6067000000,3484000000,956000000,1936000000,2583000000,369000000,,243000000,1871000000,,,6.91,6.79,270687000,275646000,3077000000,-934000000,-1585000000,,3845000000,767000000,,,,,310000000,1782000000,960000000,1185000000,9961000000,,2635000000,,,,,,,,,,,,,,
22,0001413447,2024,24353000000,7864000000,16489000000,15393000000,4111000000,11282000000,24353000000,8644000000,55000000,-2793000000,,316000000,,,,7517000000,3723000000,1066000000,2148000000,3797000000,427000000,,529000000,2787000000,,,10.64,10.55,261879000,264053000,3895000000,-1249000000,-1619000000,,3862000000,1063000000,,,,,283000000,2134000000,894000000,1164000000,9943000000,,3105000000,10175000000,,,,,,,,,,,,,
31,0001572694,2022,3550991000,,,1936591000,,,3550991000,676125000,102000,-5353000,,,,,,,98620000,,,,,,1429000,,,,3.26,3.26,53940573,53940573,165783000,,-143110000,,,,13000000,,1262176000,1289450000,,,,,,,,,,,,,,,,,,,,,
32,0001572694,2023,3591311000,,,2088917000,,,3591311000,1615141000,103000,-55023000,,,,,,,139900000,,,,,,1283000,,,,1.89,1.89,29737113,29737113,-29856000,,31694000,,,,2256000,,898193000,1127532000,,,,,,,,,,,,,,,,,,,,,
33,0001572694,2024,3522819000,,,1920994000,,,3522819000,1614400000,110000,-206202000,,,,,,,136152000,,,,,,4453000,,,,0.54,0.54,34782967,34782967,27439000,,-21748000,,,,97578000,,698500000,846179000,,,,,,,,,,,,,,,,,,,,,
43,0001968487,2023,1764400000,980900000,,609800000,478400000,,1764400000,1029000000,,,,125600000,1943000000,,,123100000,,98000000,,21000000,2200000,,4800000,14400000,,,0.29,0.29,49300000,49300000,117500000,-2400000,-104100000,,32700000,25600000,,,,,35500000,414800000,468000000,402200000,78600000,83400000,414400000,0,2800000,,,,,,,,,,,,
44,0001968487,2024,1764400000,980900000,,609800000,478400000,,1764400000,1029000000,,0,,125600000,4068900000,,,395500000,,180300000,,226600000,3000000,,54000000,180400000,,,3.66,3.66,49300000,49300000,39500000,-395300000,358400000,,32700000,36400000,,,,,59500000,414800000,468000000,402200000,80000000,83400000,1400000,0,2800000,,,,,,,,,,,,
45,0001257640,2014,1619100000,781200000,301600000,,278000000,406000000,1619100000,924300000,1200000,-312600000,,,,1976300000,1415900000,560400000,,183400000,19000000,359600000,26700000,,112300000,218500000,,,,,,,-39300000,-18300000,-120900000,200200000,82500000,74800000,,,290000000,,,416600000,,123900000,,,536300000,,,,,,,,,,,,,,
